venue_no,venue_name,supplier_name,supplier_url,supplier_image,supplier_rating,supplier_category
V35,Clearwell Castle,Bourton Hall,https://www.hitched.co.uk/wedding-venues/bourton-hall_8800.htm,https://cdn0.hitched.co.uk/vendor/0021/3_2/640/jpg/dita-bowen-photography-120-large_4_200021-168691389883929.jpeg,4.7,Country Weddings
V35,Clearwell Castle,St Audries Park,https://www.hitched.co.uk/wedding-venues/st-audries-park_3283.htm,https://cdn0.hitched.co.uk/vendor/9237/3_2/640/jpg/st-audries-p-201602170224007403745656.jpeg,5.0,Country Weddings
V37,Dodford Manor - Barn Wedding Venue,Luke Hardy Photography,https://www.hitched.co.uk/wedding-photographers/luke-hardy-photography_300704.htm,https://cdn0.hitched.co.uk/vendor/0704/3_2/640/jpg/e-s-382_4_300704-169619568353632.jpeg,5.0,Photographers
V37,Dodford Manor - Barn Wedding Venue,Pro Wedding DJs,https://www.hitched.co.uk/wedding-music-and-djs/pro-wedding-djs_348513.htm,https://cdn0.hitched.co.uk/vendor/8513/3_2/640/jpeg/img-2277_4_348513-170143811957961.jpeg,5.0,Music and DJs
V37,Dodford Manor - Barn Wedding Venue,Sky Photography,https://www.hitched.co.uk/wedding-photographers/sky-photography_167341.htm,https://cdn0.hitched.co.uk/vendor/7341/3_2/640/jpg/sky-photography-portfolio23-2-of-2_4_167341-172777073951297.jpeg,5.0,Photographers
V37,Dodford Manor - Barn Wedding Venue,Two-D Photography Ltd,https://www.hitched.co.uk/wedding-photographers/two-d-photography-ltd_116316.htm,https://cdn0.hitched.co.uk/vendor/6316/3_2/640/jpg/bassmead-two-dphotography-54_4_116316-157910241286722.jpeg,5.0,Photographers
V37,Dodford Manor - Barn Wedding Venue,1Entertainments,https://www.hitched.co.uk/wedding-music-and-djs/1entertainments_46764.htm,https://cdn0.hitched.co.uk/vendor/6764/3_2/640/jpg/1a_4_46764.jpeg,4.1,Music and DJs
V37,Dodford Manor - Barn Wedding Venue,"The Vyne String Quartet, Trio or Duo",https://www.hitched.co.uk/wedding-music-and-djs/the-vyne-string-quartet-trio-or-duo_89454.htm,https://cdn0.hitched.co.uk/vendor/9454/3_2/640/jpg/2c64ba73-8372-45e1-a31c-f6b3abd80142_4_89454-166048526411750.jpeg,5.0,Music and DJs
V38,Gosfield Hall,Leez Priory,https://www.hitched.co.uk/wedding-venues/leez-priory_858.htm,https://cdn0.hitched.co.uk/vendor/4799/3_2/640/jpg/beccy-tom-lavenham-90_4_184799-173444730419403.jpeg,5.0,Historic Weddings
V38,Gosfield Hall,Holmewood Hall,https://www.hitched.co.uk/wedding-venues/holmewood-hall_5278.htm,https://cdn0.hitched.co.uk/vendor/2889/3_2/640/jpg/holmewood-spring-large_4_192889-168691486831588.jpeg,4.8,Stately Home
V38,Gosfield Hall,Lavenham Photographic,https://www.hitched.co.uk/wedding-photographers/essex/lavenham-photographic_22111.htm,https://cdn0.hitched.co.uk/vendor/9225/3_2/640/jpg/photographers-lavenham-pho-20191015095048378.jpeg,5.0,Photographers
V40,Holmewood Hall,Gosfield Hall,https://www.hitched.co.uk/wedding-venues/gosfield-hall_2889.htm,https://cdn0.hitched.co.uk/vendor/8907/3_2/640/jpg/dji-0689-2-large_4_188907-168691184023489.jpeg,4.9,Country Weddings
V40,Holmewood Hall,Bourton Hall,https://www.hitched.co.uk/wedding-venues/bourton-hall_8800.htm,https://cdn0.hitched.co.uk/vendor/0021/3_2/640/jpg/dita-bowen-photography-120-large_4_200021-168691389883929.jpeg,4.7,Country Weddings
V41,Bourton Hall,Holmewood Hall,https://www.hitched.co.uk/wedding-venues/holmewood-hall_5278.htm,https://cdn0.hitched.co.uk/vendor/2889/3_2/640/jpg/holmewood-spring-large_4_192889-168691486831588.jpeg,4.8,Stately Home
V41,Bourton Hall,Clearwell Castle,https://www.hitched.co.uk/wedding-venues/clearwell-castle_932.htm,https://cdn0.hitched.co.uk/vendor/4751/3_2/640/jpg/rebecca-hadley-photography_4_184751-165935089659511.jpeg,5.0,Castle Weddings
V41,Bourton Hall,Gosfield Hall,https://www.hitched.co.uk/wedding-venues/gosfield-hall_2889.htm,https://cdn0.hitched.co.uk/vendor/8907/3_2/640/jpg/dji-0689-2-large_4_188907-168691184023489.jpeg,4.9,Country Weddings
V41,Bourton Hall,Leez Priory,https://www.hitched.co.uk/wedding-venues/leez-priory_858.htm,https://cdn0.hitched.co.uk/vendor/4799/3_2/640/jpg/beccy-tom-lavenham-90_4_184799-173444730419403.jpeg,5.0,Historic Weddings
V42,B&H Buildings,Wonder Wedding Stationery,https://www.hitched.co.uk/wedding-stationery/national/wonder-wedding-stationery_51320.htm,https://cdn0.hitched.co.uk/vendor/4099/3_2/640/jpg/background_4_274099-170489015261269.jpeg,5.0,Stationery
V42,B&H Buildings,Occasion Queens Wedding Coordinator,https://www.hitched.co.uk/wedding-planner/occasion-queens-wedding-coordinator_268485.htm,https://cdn0.hitched.co.uk/vendor/8485/3_2/640/jpg/jess-1-3-olly-knight_4_268485-169624106623856.jpeg,5.0,Planners
V42,B&H Buildings,Poppy Sienna Events,https://www.hitched.co.uk/wedding-planner/poppy-sienna-events_277859.htm,https://cdn0.hitched.co.uk/vendor/7859/3_2/640/jpg/kelly-sam-s-kin-house-wedding-preview-45_4_277859-173601885270406.jpeg,5.0,Planners
V42,B&H Buildings,Lyndsey Goddard Photography,https://www.hitched.co.uk/wedding-photographers/lyndsey-goddard-photography_303138.htm,https://cdn0.hitched.co.uk/vendor/3138/3_2/640/jpg/london-wedding-photographer-copy_4_303138-165321245573473.jpeg,,
V42,B&H Buildings,ACHE for Cake,https://www.hitched.co.uk/wedding-cakes/ache-for-cake_301542.htm,https://cdn0.hitched.co.uk/vendor/1542/3_2/640/jpeg/238acc8c-0335-4100-b88c-ea5c58ab6750-1-105-c_4_301542-168746371413347.jpeg,5.0,Cakes
V42,B&H Buildings,The Occasional Press,https://www.hitched.co.uk/wedding-something-different/london/the-occasional-press_34145.htm,https://cdn0.hitched.co.uk/vendor/4855/3_2/640/jpg/invite-cover_4_254855-170067544014982.jpeg,5.0,Something Different
V43,Leez Priory,Gosfield Hall,https://www.hitched.co.uk/wedding-venues/gosfield-hall_2889.htm,https://cdn0.hitched.co.uk/vendor/8907/3_2/640/jpg/dji-0689-2-large_4_188907-168691184023489.jpeg,4.9,Country Weddings
V43,Leez Priory,Holmewood Hall,https://www.hitched.co.uk/wedding-venues/holmewood-hall_5278.htm,https://cdn0.hitched.co.uk/vendor/2889/3_2/640/jpg/holmewood-spring-large_4_192889-168691486831588.jpeg,4.8,Stately Home
V45,The Prince Albert,Grae Hood Photography,https://www.hitched.co.uk/wedding-photographers/grae-hood-photography_302116.htm,https://cdn0.hitched.co.uk/vendor/2116/3_2/640/jpg/portfolio-colour-67-of-70_4_302116-172175606598682.jpeg,5.0,Photographers
V45,The Prince Albert,Occasion Queens Wedding Coordinator,https://www.hitched.co.uk/wedding-planner/occasion-queens-wedding-coordinator_268485.htm,https://cdn0.hitched.co.uk/vendor/8485/3_2/640/jpg/jess-1-3-olly-knight_4_268485-169624106623856.jpeg,5.0,Planners
V45,The Prince Albert,SoDiscos,https://www.hitched.co.uk/wedding-music-and-djs/hertfordshire/sodiscos_34567.htm,https://cdn0.hitched.co.uk/vendor/6115/3_2/640/jpg/fanhams-hall_4_256115-174128119682728.jpeg,5.0,Music and DJs
V45,The Prince Albert,Mahoney Pics,https://www.hitched.co.uk/wedding-photographers/mahoney-pics_300832.htm,https://cdn0.hitched.co.uk/vendor/0832/3_2/640/jpg/1-twia-2024_4_300832-169774447234479.jpeg,5.0,Photographers
